Seq	sample	Entrez_old	Entrez	Symbol
10360	TBC1D22A	25771	25771	TBC1D22A
10361	HRSP12	10247	10247	RIDA
10362	RPSA	3921	3921	RPSA
10363	SPTLC2	9517	9517	SPTLC2
10364	SPTLC3	55304	55304	SPTLC3
10365	DRAP1	10589	10589	DRAP1
10366	ABCD1	215	215	ABCD1
10367	ABCD3	5825	5825	ABCD3
10368	ABCD2	225	225	ABCD2
10369	RARS2	57038	57038	RARS2
10370	ABCD4	5826	5826	ABCD4
10371	C2CD3	26005	26005	C2CD3
10372	C2CD2	25966	25966	C2CD2
10373	KRTAP1-3	81850	81850	KRTAP1-3
10374	HSPA8	3312	3312	HSPA8
10375	ZNF43	7594	7594	ZNF43
10376	SIRPA	140885	140885	SIRPA
10377	LOC100131496	100131496	100131496	LOC100131496
10378	TOM1	10043	10043	TOM1
10379	SIGLEC5	8778	8778	SIGLEC5
10380	TUBD1	51174	51174	TUBD1
10381	TMEM19	55266	55266	TMEM19
10382	RRBP1	6238	6238	RRBP1
10383	TRAPPC9	83696	83696	TRAPPC9
10384	PI3	5266	5266	PI3
10385	LIN52	91750	91750	LIN52
10386	SPANXC	64663	64663	SPANXC
10387	TRAPPC1	58485	58485	TRAPPC1
10388	TRAPPC3	27095	27095	TRAPPC3
10389	TRAPPC2	6399	6399	TRAPPC2
10390	TRAPPC5	126003	126003	TRAPPC5
10391	TRAPPC4	51399	51399	TRAPPC4
10392	PRPH	5630	5630	PRPH
10393	BAK1	578	578	BAK1
10394	PPAN-P2RY11	692312	692312	PPAN-P2RY11
10395	SIM2	6493	6493	SIM2
10396	TMEM129	92305	92305	TMEM129
10397	SBSN	374897	374897	SBSN
10398	CSN2	1447	1447	CSN2
10399	CSN3	1448	1448	CSN3
10400	RHBG	57127	57127	RHBG
10401	PPP1R14A	94274	94274	PPP1R14A
10402	UTS2D	257313	257313	UTS2B
10403	KRTAP1-5	83895	83895	KRTAP1-5
10404	ZNF232	7775	7775	ZNF232
10405	KIAA1274	27143	27143	PALD1
10406	PRRT1	80863	80863	PRRT1
10407	ST6GALNAC3	256435	256435	ST6GALNAC3
10408	ZC4H2	55906	55906	ZC4H2
10409	KIAA1279	26128	26128	KIFBP
10410	TSNAXIP1	55815	55815	TSNAXIP1
10411	PDCD10	11235	11235	PDCD10
10412	PRRT3	285368	285368	PRRT3
10413	PFN1	5216	5216	PFN1
10414	CYP2U1	113612	113612	CYP2U1
10415	LILRB5	10990	10990	LILRB5
10416	ATPIF1	93974	93974	ATP5IF1
10417	C15orf17	57184	57184	FAM219B
10418	LILRB2	10288	10288	LILRB2
10419	LILRB1	10859	10859	LILRB1
10420	DGAT1	8694	8694	DGAT1
10421	KIR2DS4	3809	3809	KIR2DS4
10422	DGAT2	84649	84649	DGAT2
10423	TNFRSF21	27242	27242	TNFRSF21
10424	MTCP1	4515	4515	MTCP1
10425	PSMG4	389362	389362	PSMG4
10426	TBC1D10B	26000	26000	TBC1D10B
10427	GRAP2	9402	9402	GRAP2
10428	ABCA17P	650655	650655	ABCA17P
10429	PSMG1	8624	8624	PSMG1
10430	PSMG2	56984	56984	PSMG2
10431	PSMG3	84262	84262	PSMG3
10432	RRN3P3	100131998	100131998	RRN3P3
10433	KSR1	8844	8844	KSR1
10434	KSR2	283455	283455	KSR2
10435	TIMM17B	10245	10245	TIMM17B
10436	DSEL	92126	92126	DSEL
10437	SLC35D3	340146	340146	SLC35D3
10438	PPIH	10465	10465	PPIH
10439	GRAPL	400581	400581	GRAPL
10440	GATAD2B	57459	57459	GATAD2B
10441	C20orf43	51507	51507	RTF2
10442	NRK	203447	203447	NRK
10443	C20orf46	55321	55321	TMEM74B
10444	CNTFR	1271	1271	CNTFR
10445	TACR3	6870	6870	TACR3
10446	TACR2	6865	6865	TACR2
10447	TACR1	6869	6869	TACR1
10448	DIMT1L	27292	27292	DIMT1
10449	KCNH5	27133	27133	KCNH5
10450	KCNH4	23415	23415	KCNH4
10451	KCNH7	90134	90134	KCNH7
10452	KCNH6	81033	81033	KCNH6
10453	KCNH1	3756	3756	KCNH1
10454	KCNH3	23416	23416	KCNH3
10455	KCNH2	3757	3757	KCNH2
10456	PPIC	5480	5480	PPIC
10457	KCNH8	131096	131096	KCNH8
10458	PPIB	5479	5479	PPIB
10459	SNORD45C	692085	692085	SNORD45C
10460	LOC388789	388789	388789	SMIM26
10461	C9orf119	375757	375757	SWI5
10462	OR5T2	219464	219464	OR5T2
10463	CCDC85A	114800	114800	CCDC85A
10464	SERBP1	26135	26135	SERBP1
10465	SNORD111B	100113402	100113402	SNORD111B
10466	MRPL53	116540	116540	MRPL53
10467	C9orf110	100128385	100128385	FAM225B
10468	C9orf117	286207	286207	CFAP157
10469	C9orf116	138162	138162	C9orf116
10470	C9orf114	51490	51490	SPOUT1
10471	LOC731779	731779	731779	LINC01300
10472	PNMA5	114824	114824	PNMA5
10473	SLC28A1	9154	9154	SLC28A1
10474	NUP133	55746	55746	NUP133
10475	PRNP	5621	5621	PRNP
10476	LIN37	55957	55957	LIN37
10477	KIAA0586	9786	9786	KIAA0586
10478	FOXM1	2305	2305	FOXM1
10479	ZER1	10444	10444	ZER1
10480	NDUFAF3	25915	25915	NDUFAF3
10481	FKTN	2218	2218	FKTN
10482	OR2H2	7932	7932	OR2H2
10483	OR2H1	26716	26716	OR2H1
10484	URB2	9816	9816	URB2
